customer_id,customer_name,industry,company_size,country,state_province,city,customer_since,customer_status,account_manager,annual_revenue_bucket,credit_limit,payment_terms,tax_id
CUST-00100,Apex Corporation Ltd,Healthcare,Mid-Market,USA,Texas,Dallas,2021-05-01,Active,REP-0156,$5M-$10M,45000.00,Net 30,92-3132880
CUST-00101,Digital Technologies SARL,Retail,Mid-Market,Netherlands,North Holland,Amsterdam,2020-04-09,Active,REP-0289,$10M-$50M,45000.00,Net 45,NE-338316-ABC
CUST-00102,Global Systems Corp,Healthcare,Mid-Market,Australia,Victoria,Melbourne,2023-06-26,Active,REP-0156,$5M-$10M,45000.00,Prepaid,AU-431608-123
CUST-00103,Elite Partners SRL,Financial Services,SMB,Canada,Ontario,Toronto,2022-02-22,Active,REP-0089,$1M-$5M,20000.00,Net 30,CA-942537-XYZ
CUST-00104,Pro Group LLC,Education,SMB,Canada,Ontario,Toronto,2018-12-11,Active,REP-0156,$5M-$10M,25000.00,Net 30,CA-539083-ABC
CUST-00105,Smart Industries GmbH,Technology,Enterprise,Australia,Victoria,Melbourne,2020-07-05,Active,REP-0203,$5M-$10M,100000.00,Net 45,AU-494184-XYZ
CUST-00106,Elite Industries Corp,Government,Mid-Market,Germany,Hamburg,Hamburg,2020-12-24,Active,REP-0089,$100M+,40000.00,Prepaid,DE254072218
CUST-00107,Global Group Pte Ltd,Manufacturing,Enterprise,United Kingdom,England,Manchester,2024-04-28,Active,REP-0245,$100M+,150000.00,Net 30,GB431867951
CUST-00108,Central Innovations Corp,Healthcare,Mid-Market,Spain,Madrid,Madrid,2019-04-19,Active,REP-0156,$1M-$5M,45000.00,Net 45,SP-640945-123
CUST-00109,Advanced Partners AG,Education,SMB,Italy,Lazio,Rome,2020-02-09,Active,REP-0134,$100M+,20000.00,Net 45,IT-287420-123
CUST-00110,Pro Industries SRL,Retail,Mid-Market,France,Auvergne-Rhône-Alpes,Lyon,2019-10-30,Active,REP-0112,$100M+,60000.00,Net 30,FR-372483-123
CUST-00111,Metro Systems SARL,Healthcare,Mid-Market,Canada,Ontario,Toronto,2018-02-19,Active,REP-0289,$10M-$50M,50000.00,Net 30,CA-335447-ABC
CUST-00112,Innovative Corporation Inc,Healthcare,Mid-Market,Canada,British Columbia,Vancouver,2022-07-01,Active,REP-0078,$100M+,60000.00,Prepaid,CA-798798-XYZ
CUST-00113,Elite Partners Ltd,Education,SMB,Canada,Ontario,Toronto,2024-01-13,Churned,REP-0267,$50M-$100M,30000.00,Net 30,CA-467227-XYZ
CUST-00114,Quantum Solutions SARL,Retail,Enterprise,USA,Colorado,Denver,2019-07-23,Active,REP-0134,$100M+,200000.00,Net 45,80-4580495
CUST-00115,Tech Services Inc,Retail,SMB,Italy,Lazio,Rome,2020-11-09,Active,REP-0112,$10M-$50M,20000.00,Net 30,IT-397079-123
CUST-00116,Premier Enterprises LLC,Financial Services,Mid-Market,Singapore,,Singapore,2021-01-27,Active,REP-0112,$50M-$100M,45000.00,Net 30,SG-2022-063
CUST-00117,Nexus Partners Inc,Retail,Enterprise,Australia,New South Wales,Sydney,2021-09-22,Active,REP-0203,$10M-$50M,150000.00,Prepaid,AU-128290-XYZ
CUST-00118,Pro Corporation GmbH,Technology,Mid-Market,Italy,Lazio,Rome,2022-06-13,Active,REP-0045,$1M-$5M,50000.00,Net 60,IT-567339-123
CUST-00119,Tech Enterprises SARL,Healthcare,SMB,Australia,New South Wales,Sydney,2023-08-05,Active,REP-0089,$5M-$10M,15000.00,Net 45,AU-354139-ABC
CUST-00120,Nexus Group GmbH,Government,SMB,United Kingdom,England,London,2022-10-05,Active,REP-0289,$1M-$5M,20000.00,Net 60,GB177625850
CUST-00121,Quantum Group GmbH,Technology,Mid-Market,Canada,British Columbia,Vancouver,2024-05-03,Active,REP-0134,$1M-$5M,60000.00,Prepaid,CA-631805-XYZ
CUST-00122,Digital Services SARL,Education,SMB,Netherlands,North Holland,Amsterdam,2022-03-24,Active,REP-0203,$5M-$10M,25000.00,Net 60,NE-922502-123
CUST-00123,Premier Systems SARL,Education,Mid-Market,Germany,Berlin,Berlin,2024-05-15,Active,REP-0045,$1M-$5M,40000.00,Prepaid,DE257265454
CUST-00124,Premier Industries Pte Ltd,Government,Enterprise,Italy,Lombardy,Milan,2024-04-06,Active,REP-0156,$1M-$5M,80000.00,Net 15,IT-580252-ABC
CUST-00125,Innovative Enterprises Inc,Financial Services,SMB,Netherlands,North Holland,Amsterdam,2021-04-18,Active,REP-0289,$10M-$50M,15000.00,Net 30,NE-403743-ABC
CUST-00126,Digital Group Inc,Education,Enterprise,Italy,Lazio,Rome,2022-12-04,Active,REP-0078,$10M-$50M,150000.00,Net 60,IT-968350-XYZ
CUST-00127,Smart Enterprises LLC,Manufacturing,Mid-Market,USA,New York,Buffalo,2023-10-04,Active,REP-0203,$1M-$5M,45000.00,Net 30,89-9626021
CUST-00128,Advanced Corporation Pte Ltd,Manufacturing,SMB,Australia,Victoria,Melbourne,2022-02-21,Active,REP-0289,$50M-$100M,20000.00,Net 45,AU-888349-XYZ
CUST-00129,Elite Group SARL,Manufacturing,Enterprise,Germany,Bavaria,Munich,2021-08-28,Active,REP-0156,$5M-$10M,200000.00,Net 60,DE715272612
CUST-00130,Smart Solutions Pte Ltd,Retail,Enterprise,USA,Illinois,Chicago,2021-09-03,Active,REP-0045,$100M+,150000.00,Net 60,91-8194088
CUST-00131,Quantum Industries LLC,Technology,SMB,Singapore,,Singapore,2022-08-02,Active,REP-0245,$50M-$100M,25000.00,Net 15,SG-2022-478
CUST-00132,Apex Industries Inc,Financial Services,Mid-Market,Netherlands,North Holland,Amsterdam,2018-06-13,Active,REP-0045,$5M-$10M,40000.00,Prepaid,NE-303796-XYZ
CUST-00133,Summit Services SARL,Healthcare,Enterprise,Netherlands,North Holland,Amsterdam,2019-08-22,Active,REP-0289,$10M-$50M,100000.00,Net 60,NE-105749-ABC
CUST-00134,Premier Enterprises Corp,Healthcare,Enterprise,Australia,New South Wales,Sydney,2023-01-19,Active,REP-0245,$5M-$10M,80000.00,Net 45,AU-331275-123
CUST-00135,Innovative Industries AG,Technology,Mid-Market,Australia,New South Wales,Sydney,2022-07-27,Active,REP-0045,$50M-$100M,50000.00,Prepaid,AU-720986-123
CUST-00136,Advanced Corporation Pte Ltd,Government,Mid-Market,USA,New York,Buffalo,2019-05-02,Active,REP-0156,$1M-$5M,45000.00,Net 60,72-4145265
CUST-00137,Advanced Innovations Inc,Government,SMB,Singapore,,Singapore,2022-05-31,Active,REP-0245,$10M-$50M,30000.00,Net 45,SG-2021-790
CUST-00138,Tech Group Ltd,Manufacturing,SMB,Spain,Madrid,Madrid,2020-08-09,Active,REP-0156,$1M-$5M,20000.00,Net 15,SP-238606-XYZ
CUST-00139,Central Technologies Pte Ltd,Manufacturing,Mid-Market,France,Auvergne-Rhône-Alpes,Lyon,2023-11-28,Active,REP-0134,$10M-$50M,60000.00,Net 15,FR-361437-123
CUST-00140,Innovative Technologies SRL,Manufacturing,Mid-Market,Australia,New South Wales,Sydney,2022-07-12,Active,REP-0089,$50M-$100M,45000.00,Prepaid,AU-104009-ABC
CUST-00141,Tech Partners Corp,Professional Services,SMB,Italy,Lazio,Rome,2024-01-21,Active,REP-0267,$50M-$100M,20000.00,Prepaid,IT-259921-123
CUST-00142,Nexus Corporation Ltd,Financial Services,Mid-Market,Italy,Lazio,Rome,2024-01-28,Active,REP-0134,$10M-$50M,60000.00,Net 15,IT-216295-ABC
CUST-00143,Innovative Industries Corp,Financial Services,Enterprise,Netherlands,North Holland,Amsterdam,2024-03-04,Active,REP-0112,$5M-$10M,150000.00,Net 15,NE-487998-123
CUST-00144,Pro Corporation LLC,Education,Enterprise,Australia,New South Wales,Sydney,2023-02-25,Active,REP-0112,$50M-$100M,100000.00,Net 30,AU-127776-ABC
CUST-00145,Central Solutions Corp,Government,SMB,Canada,British Columbia,Vancouver,2022-08-21,Active,REP-0267,$10M-$50M,30000.00,Net 30,CA-562424-123
CUST-00146,Global Services Pte Ltd,Manufacturing,Mid-Market,France,Auvergne-Rhône-Alpes,Lyon,2021-07-08,Active,REP-0078,$5M-$10M,50000.00,Net 15,FR-363990-123
CUST-00147,Quantum Corporation SRL,Manufacturing,Mid-Market,USA,Texas,Austin,2019-05-24,Active,REP-0203,$50M-$100M,50000.00,Net 30,97-9887507
