target_id,sales_rep_id,year,quarter,month,quota_amount,actual_amount,achievement_percent,deals_closed,avg_deal_size,new_customers,territory,sales_team
TGT-2023-Q1-REP-0001-01,REP-0001,2023,Q1,January,107833.33,71452.30,66.26,19,3760.65,9,LATAM,Enterprise Sales
TGT-2023-Q1-REP-0002-01,REP-0002,2023,Q1,January,41416.67,46219.58,111.60,28,1650.70,10,East,Inside Sales
TGT-2023-Q1-REP-0003-01,REP-0003,2023,Q1,January,43000.00,36802.67,85.59,39,943.66,19,Central,SMB Sales
TGT-2023-Q1-REP-0004-01,REP-0004,2023,Q1,January,87416.67,63583.04,72.74,10,6358.30,4,East,Enterprise Sales
TGT-2023-Q1-REP-0005-01,REP-0005,2023,Q1,January,68833.33,90380.48,131.30,26,3476.17,13,APAC,Mid-Market
TGT-2023-Q1-REP-0006-01,REP-0006,2023,Q1,January,49000.00,40345.25,82.34,21,1921.20,10,LATAM,SMB Sales
TGT-2023-Q1-REP-0009-01,REP-0009,2023,Q1,January,38666.67,24845.39,64.26,47,528.63,24,LATAM,Inside Sales
TGT-2023-Q1-REP-0010-01,REP-0010,2023,Q1,January,71500.00,73192.79,102.37,19,3852.25,6,EMEA,Mid-Market
TGT-2023-Q1-REP-0011-01,REP-0011,2023,Q1,January,107000.00,109522.58,102.36,16,6845.16,5,EMEA,Enterprise Sales
TGT-2023-Q1-REP-0012-01,REP-0012,2023,Q1,January,69666.67,88532.79,127.08,15,5902.19,8,EMEA,Mid-Market
TGT-2023-Q1-REP-0013-01,REP-0013,2023,Q1,January,99916.67,61292.64,61.34,14,4378.05,7,Central,Enterprise Sales
TGT-2023-Q1-REP-0014-01,REP-0014,2023,Q1,January,122750.00,112570.52,91.71,24,4690.44,13,East,Partner Sales
TGT-2023-Q1-REP-0015-01,REP-0015,2023,Q1,January,77916.67,69940.89,89.76,17,4114.17,5,APAC,Mid-Market
TGT-2023-Q1-REP-0016-01,REP-0016,2023,Q1,January,76916.67,93317.64,121.32,29,3217.85,9,West,Mid-Market
TGT-2023-Q1-REP-0017-01,REP-0017,2023,Q1,January,41000.00,58258.90,142.09,32,1820.59,17,East,Inside Sales
TGT-2023-Q1-REP-0018-01,REP-0018,2023,Q1,January,85500.00,113097.89,132.28,11,10281.63,6,EMEA,Enterprise Sales
TGT-2023-Q1-REP-0019-01,REP-0019,2023,Q1,January,46083.33,56716.95,123.07,42,1350.40,23,Central,SMB Sales
TGT-2023-Q1-REP-0020-01,REP-0020,2023,Q1,January,102083.33,124765.29,122.22,17,7339.13,8,Central,Partner Sales
TGT-2023-Q1-REP-0022-01,REP-0022,2023,Q1,January,48416.67,46443.95,95.93,31,1498.19,11,APAC,SMB Sales
TGT-2023-Q1-REP-0023-01,REP-0023,2023,Q1,January,42583.33,51094.97,119.99,31,1648.22,10,East,Inside Sales
TGT-2023-Q1-REP-0024-01,REP-0024,2023,Q1,January,45333.33,51164.75,112.86,29,1764.30,12,Central,Inside Sales
TGT-2023-Q1-REP-0026-01,REP-0026,2023,Q1,January,44833.33,48215.66,107.54,38,1268.83,22,LATAM,Inside Sales
TGT-2023-Q1-REP-0027-01,REP-0027,2023,Q1,January,44833.33,44951.04,100.26,37,1214.89,18,EMEA,Inside Sales
TGT-2023-Q1-REP-0029-01,REP-0029,2023,Q1,January,107333.33,113451.90,105.70,9,12605.77,4,LATAM,Enterprise Sales
TGT-2023-Q1-REP-0030-01,REP-0030,2023,Q1,January,42250.00,51595.71,122.12,24,2149.82,13,West,SMB Sales
TGT-2023-Q1-REP-0031-01,REP-0031,2023,Q1,January,46833.33,58146.54,124.16,32,1817.08,12,Central,SMB Sales
TGT-2023-Q1-REP-0032-01,REP-0032,2023,Q1,January,102583.33,69449.95,67.70,17,4085.29,6,Central,Enterprise Sales
TGT-2023-Q1-REP-0034-01,REP-0034,2023,Q1,January,34750.00,47377.25,136.34,30,1579.24,14,East,Inside Sales
TGT-2023-Q1-REP-0035-01,REP-0035,2023,Q1,January,105500.00,46940.49,44.49,19,2470.55,8,East,Enterprise Sales
TGT-2023-Q1-REP-0036-01,REP-0036,2023,Q1,January,33583.33,28446.22,84.70,35,812.75,18,West,Inside Sales
TGT-2023-Q1-REP-0037-01,REP-0037,2023,Q1,January,53333.33,63963.10,119.93,36,1776.75,14,EMEA,SMB Sales
TGT-2023-Q1-REP-0038-01,REP-0038,2023,Q1,January,120750.00,139107.84,115.20,11,12646.17,6,LATAM,Partner Sales
TGT-2023-Q1-REP-0039-01,REP-0039,2023,Q1,January,34916.67,35177.14,100.75,40,879.43,15,Central,Inside Sales
TGT-2023-Q1-REP-0040-01,REP-0040,2023,Q1,January,91083.33,84361.57,92.62,18,4686.75,9,East,Enterprise Sales
TGT-2023-Q1-REP-0041-01,REP-0041,2023,Q1,January,72250.00,59441.64,82.27,29,2049.71,11,APAC,Mid-Market
TGT-2023-Q1-REP-0043-01,REP-0043,2023,Q1,January,43416.67,41703.26,96.05,42,992.93,17,Central,SMB Sales
TGT-2023-Q1-REP-0044-01,REP-0044,2023,Q1,January,90750.00,0.00,0.00,0,0.00,0,Central,Enterprise Sales
TGT-2023-Q1-REP-0045-01,REP-0045,2023,Q1,January,109583.33,112657.66,102.81,11,10241.61,3,East,Partner Sales
TGT-2023-Q1-REP-0046-01,REP-0046,2023,Q1,January,90250.00,109628.46,121.47,12,9135.70,5,LATAM,Enterprise Sales
TGT-2023-Q1-REP-0048-01,REP-0048,2023,Q1,January,43416.67,19376.65,44.63,40,484.42,15,East,Inside Sales
TGT-2023-Q1-REP-0049-01,REP-0049,2023,Q1,January,72833.33,75325.86,103.42,16,4707.87,6,West,Mid-Market
TGT-2023-Q1-REP-0051-01,REP-0051,2023,Q1,January,108916.67,82480.65,75.73,25,3299.23,12,Central,Partner Sales
TGT-2023-Q1-REP-0052-01,REP-0052,2023,Q1,January,102000.00,113074.34,110.86,19,5951.28,5,West,Enterprise Sales
TGT-2023-Q1-REP-0053-01,REP-0053,2023,Q1,January,73916.67,77359.50,104.66,20,3867.98,9,EMEA,Mid-Market
TGT-2023-Q1-REP-0054-01,REP-0054,2023,Q1,January,88250.00,96658.48,109.53,19,5087.29,6,West,Enterprise Sales
TGT-2023-Q1-REP-0055-01,REP-0055,2023,Q1,January,112750.00,73843.98,65.49,23,3210.61,12,Central,Partner Sales
TGT-2023-Q1-REP-0057-01,REP-0057,2023,Q1,January,104833.33,136085.53,129.81,19,7162.40,6,East,Enterprise Sales
TGT-2023-Q1-REP-0058-01,REP-0058,2023,Q1,January,50166.67,60845.70,121.29,36,1690.16,17,LATAM,SMB Sales
TGT-2023-Q1-REP-0060-01,REP-0060,2023,Q1,January,44000.00,42717.30,97.08,34,1256.39,19,EMEA,Inside Sales
TGT-2023-Q1-REP-0061-01,REP-0061,2023,Q1,January,51500.00,66045.68,128.24,28,2358.77,16,LATAM,SMB Sales
